dataset,context_variant,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,em_f1_disagree,documents_mean,context_characters_mean,handoff_characters_mean,chain_tokens_mean,answer_tokens_mean,f1_delta_from_depth0,em_delta_from_depth0
hotpotqa,full,0,10,0.5,0.2,0.8,0.7024,0.45,0.919,0.3,10.0,5770.8,5770.8,0.0,1598.3,0.0,0.0
hotpotqa,full,1,10,0.5,0.2,0.8,0.65,0.4,0.8833,0.2,10.0,5770.8,628.5,1780.3,244.3,-0.0524,0.0
hotpotqa,full,3,10,0.4,0.1,0.7,0.5944,0.35,0.8333,0.2,10.0,5770.8,494.7,2563.9,217.1,-0.1079,-0.1
hotpotqa,full,5,10,0.4,0.1,0.7,0.5944,0.35,0.8333,0.2,10.0,5770.8,461.2,3295.7,211.1,-0.1079,-0.1
hotpotqa,medium,0,10,0.5,0.2,0.8,0.7357,0.519,0.9214,0.3,5.0,2854.0,2854.0,0.0,865.6,0.0,0.0
hotpotqa,medium,1,10,0.5,0.2,0.8,0.65,0.4,0.8833,0.2,5.0,2854.0,389.3,988.3,188.6,-0.0857,0.0
hotpotqa,medium,3,10,0.5,0.2,0.8,0.65,0.4,0.8833,0.2,5.0,2854.0,358.3,1612.0,181.3,-0.0857,0.0
hotpotqa,medium,5,10,0.5,0.2,0.8,0.65,0.4,0.8833,0.2,5.0,2854.0,360.7,2231.6,181.7,-0.0857,0.0
hotpotqa,short,0,10,0.6,0.3,0.9,0.75,0.5333,0.9333,0.2,2.0,796.3,796.3,0.0,327.2,0.0,0.0
hotpotqa,short,1,10,0.6,0.3,0.9,0.75,0.5333,0.9333,0.2,2.0,796.3,329.2,433.2,177.1,0.0,0.0
hotpotqa,short,3,10,0.5,0.2,0.8,0.6405,0.3905,0.8833,0.2,2.0,796.3,333.3,1036.3,178.7,-0.1095,-0.1
hotpotqa,short,5,10,0.5,0.2,0.8,0.6405,0.3905,0.8833,0.2,2.0,796.3,336.6,1643.4,179.2,-0.1095,-0.1
musique,full,0,10,0.3,0.0,0.6,0.4233,0.1733,0.68,0.1,20.0,10501.3,10501.3,0.0,2718.2,0.0,0.0
musique,full,1,10,0.4,0.1,0.7,0.49,0.2,0.75,0.1,20.0,10501.3,1139.7,2987.9,352.0,0.0667,0.1
musique,full,3,10,0.5,0.2,0.8,0.54,0.24,0.84,0.0,20.0,10501.3,601.4,3938.4,233.4,0.1167,0.2
musique,full,5,10,0.5,0.2,0.8,0.54,0.24,0.84,0.0,20.0,10501.3,604.6,4758.7,236.9,0.1167,0.2
musique,medium,0,10,0.7,0.4,1.0,0.79,0.5598,1.0,0.1,5.0,2543.0,2543.0,0.0,728.5,0.0,0.0
musique,medium,1,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,2543.0,587.2,880.2,229.7,0.21,0.3
musique,medium,3,10,0.8,0.5,1.0,0.8667,0.6667,1.0,0.1,5.0,2543.0,448.9,1601.2,202.3,0.0767,0.1
musique,medium,5,10,0.8,0.5,1.0,0.8667,0.6667,1.0,0.1,5.0,2543.0,449.1,2291.0,201.9,0.0767,0.1
musique,short,0,10,0.6,0.3,0.9,0.7067,0.44,0.9333,0.1,2.9,1383.4,1383.4,0.0,452.2,0.0,0.0
musique,short,1,10,0.7,0.4,1.0,0.7333,0.4667,1.0,0.0,2.9,1383.4,342.5,552.6,177.6,0.0267,0.1
musique,short,3,10,0.8,0.5,1.0,0.8333,0.6,1.0,0.0,2.9,1383.4,333.7,1139.9,174.7,0.1267,0.2
musique,short,5,10,0.8,0.5,1.0,0.8333,0.6,1.0,0.0,2.9,1383.4,319.6,1714.3,171.1,0.1267,0.2
